Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
1,Abbottabad,1332901,0,0
2,Abbottabad,1332901,0,1
3,Abbottabad,1332901,0,1
4,Abbottabad,1332901,0,1.525
5,Abbottabad,1332901,0,2.525
6,Abbottabad,1332901,0,3.525
7,Abbottabad,1332901,0,4.525
8,Abbottabad,1332901,0,8
9,Abbottabad,1332901,0,13.1
10,Abbottabad,1332901,0,24.2
11,Abbottabad,1332901,0,37.775
12,Abbottabad,1332901,1.475,50.725
13,Abbottabad,1332901,3.95,76.925
14,Abbottabad,1332901,9,119.9
1,Astore,99842,0,2
2,Astore,99842,0,4
3,Astore,99842,0,7
4,Astore,99842,0,9.525
5,Astore,99842,0.475,14
6,Astore,99842,1,20.525
7,Astore,99842,3,29.525
8,Astore,99842,5,39
9,Astore,99842,9,53.525
10,Astore,99842,15,75.525
11,Astore,99842,24.475,103.575
12,Astore,99842,39.475,142.575
13,Astore,99842,55.375,198.15
14,Astore,99842,76.65,269.525
1,Attock,1883538,0,1
2,Attock,1883538,0,2.05
3,Attock,1883538,0,2.525
4,Attock,1883538,0,3.525
5,Attock,1883538,0,5.525
6,Attock,1883538,0,7.525
7,Attock,1883538,0,10.525
8,Attock,1883538,0,17.1
9,Attock,1883538,0,25.15
10,Attock,1883538,2,35.15
11,Attock,1883538,3,46.575
12,Attock,1883538,6.475,67.05
13,Attock,1883538,10,94.575
14,Attock,1883538,22,135.05
1,Awaran,121642,0,0
2,Awaran,121642,0,0
3,Awaran,121642,0,0.525
4,Awaran,121642,0,1
5,Awaran,121642,0,1.525
6,Awaran,121642,0,3
7,Awaran,121642,0,5
8,Awaran,121642,0,8.525
9,Awaran,121642,0,13.525
10,Awaran,121642,0,22.575
11,Awaran,121642,0.95,50.525
12,Awaran,121642,3,90.25
13,Awaran,121642,9,148.15
14,Awaran,121642,16.95,298.525
1,Badin,1804464,0,0
2,Badin,1804464,0,1
3,Badin,1804464,0,1
4,Badin,1804464,0,1.525
5,Badin,1804464,0,2
6,Badin,1804464,0,3.525
7,Badin,1804464,0,6
8,Badin,1804464,0,11.525
9,Badin,1804464,0,19.575
10,Badin,1804464,1,31.525
11,Badin,1804464,1.475,50.05
12,Badin,1804464,4.475,76
13,Badin,1804464,10.425,151.525
14,Badin,1804464,28.475,272.2
1,Bahawalnagar,2981919,0,0
2,Bahawalnagar,2981919,0,0
3,Bahawalnagar,2981919,0,0
4,Bahawalnagar,2981919,0,0
5,Bahawalnagar,2981919,0,0
6,Bahawalnagar,2981919,0,0
7,Bahawalnagar,2981919,0,0
8,Bahawalnagar,2981919,0,0.525
9,Bahawalnagar,2981919,0,1
10,Bahawalnagar,2981919,0,2
11,Bahawalnagar,2981919,0,3
12,Bahawalnagar,2981919,0,5.525
13,Bahawalnagar,2981919,0,7
14,Bahawalnagar,2981919,0,11.525
1,Bahawalpur,3668101,0,0
2,Bahawalpur,3668101,0,0
3,Bahawalpur,3668101,0,1
4,Bahawalpur,3668101,0,1.525
5,Bahawalpur,3668101,0,2
6,Bahawalpur,3668101,0,3
7,Bahawalpur,3668101,0,5.525
8,Bahawalpur,3668101,0,7.575
9,Bahawalpur,3668101,0,12.575
10,Bahawalpur,3668101,0,19.05
11,Bahawalpur,3668101,0,26.15
12,Bahawalpur,3668101,1.475,38.05
13,Bahawalpur,3668101,6,53.525
14,Bahawalpur,3668101,9,78.25
1,Bajaur,1093684,0,0
2,Bajaur,1093684,0,0
3,Bajaur,1093684,0,0
4,Bajaur,1093684,0,0
5,Bajaur,1093684,0,0
6,Bajaur,1093684,0,0
7,Bajaur,1093684,0,0
8,Bajaur,1093684,0,0.525
9,Bajaur,1093684,0,1.525
10,Bajaur,1093684,0,2.525
11,Bajaur,1093684,0,4.525
12,Bajaur,1093684,0,7
13,Bajaur,1093684,0,16.575
14,Bajaur,1093684,0,28.625
1,Bannu,1167891,0,0
2,Bannu,1167891,0,0
3,Bannu,1167891,0,1
4,Bannu,1167891,0,2
5,Bannu,1167891,0,2.525
6,Bannu,1167891,0,4.05
7,Bannu,1167891,0,6.05
8,Bannu,1167891,0,7.525
9,Bannu,1167891,0,10.575
10,Bannu,1167891,0,16.05
11,Bannu,1167891,0,22
12,Bannu,1167891,0,32.15
13,Bannu,1167891,0,46.775
14,Bannu,1167891,0,64.825
1,Barkhan,170787,0,6
2,Barkhan,170787,0,13
3,Barkhan,170787,1,20.575
4,Barkhan,170787,3,29.575
5,Barkhan,170787,5.475,40.05
6,Barkhan,170787,13.475,57
7,Barkhan,170787,22.475,87.625
8,Barkhan,170787,32.275,128.2
9,Barkhan,170787,50.95,179.775
10,Barkhan,170787,74.9,235.525
11,Barkhan,170787,101.475,324.775
12,Barkhan,170787,149.475,443.075
13,Barkhan,170787,233.6,597.575
14,Barkhan,170787,346.975,816.025
1,Battagram,476541,0,1
2,Battagram,476541,0,3
3,Battagram,476541,0,3.525
4,Battagram,476541,0,5
5,Battagram,476541,0,8.05
6,Battagram,476541,0,13
7,Battagram,476541,0,19
8,Battagram,476541,1,31.1
9,Battagram,476541,2.475,47.625
10,Battagram,476541,3.475,80
11,Battagram,476541,7.475,110.1
12,Battagram,476541,17.95,179.4
13,Battagram,476541,27.425,288.55
14,Battagram,476541,44.9,476.825
1,Bhakkar,1650313,0,2
2,Bhakkar,1650313,0,4
3,Bhakkar,1650313,0,7
4,Bhakkar,1650313,0,10
5,Bhakkar,1650313,0,14
6,Bhakkar,1650313,1,20.05
7,Bhakkar,1650313,2.475,29.05
8,Bhakkar,1650313,4.475,40.05
9,Bhakkar,1650313,8,55
10,Bhakkar,1650313,13.95,83.525
11,Bhakkar,1650313,24.425,115.1
12,Bhakkar,1650313,40.95,155.875
13,Bhakkar,1650313,63.325,217.4
14,Bhakkar,1650313,98.375,282.1
1,Bolan,288027,0,0
2,Bolan,288027,0,0.525
3,Bolan,288027,0,2
4,Bolan,288027,0,3.525
5,Bolan,288027,0,4.525
6,Bolan,288027,0,4.525
7,Bolan,288027,0,7
8,Bolan,288027,0,10.05
9,Bolan,288027,0,15.05
10,Bolan,288027,0,22.525
11,Bolan,288027,2,35
12,Bolan,288027,4,46.05
13,Bolan,288027,7.95,67.675
14,Bolan,288027,17.475,88.575
1,Buner,897064,2,5
2,Buner,897064,1.475,7.525
3,Buner,897064,2,9
4,Buner,897064,2,15
5,Buner,897064,2,20.575
6,Buner,897064,4,26.575
7,Buner,897064,5,39
8,Buner,897064,7.425,57.25
9,Buner,897064,12.95,78.575
10,Buner,897064,19.95,119.575
11,Buner,897064,34.9,199.25
12,Buner,897064,60.6,332.2
13,Buner,897064,97.4,503.75
14,Buner,897064,159.375,805.625
1,Chagai,226005,0,0
2,Chagai,226005,0,0
3,Chagai,226005,0,0
4,Chagai,226005,0,1
5,Chagai,226005,0,1
6,Chagai,226005,0,2
7,Chagai,226005,0,4
8,Chagai,226005,0,5.525
9,Chagai,226005,0,7.525
10,Chagai,226005,0,10.05
11,Chagai,226005,0,13.525
12,Chagai,226005,0,19
13,Chagai,226005,0,26.525
14,Chagai,226005,1,36.525
1,Chakwal,1495969,0,1
2,Chakwal,1495969,0,1
3,Chakwal,1495969,0,2
4,Chakwal,1495969,0,3.05
5,Chakwal,1495969,0,4.525
6,Chakwal,1495969,0,5
7,Chakwal,1495969,0,7
8,Chakwal,1495969,0,11.525
9,Chakwal,1495969,0,16
10,Chakwal,1495969,0,19.525
11,Chakwal,1495969,0,29.525
12,Chakwal,1495969,1,38
13,Chakwal,1495969,4.475,56
14,Chakwal,1495969,9,89.05
1,Charsadda,1616117,1,3
2,Charsadda,1616117,1,4.525
3,Charsadda,1616117,1,7
4,Charsadda,1616117,0.475,11.575
5,Charsadda,1616117,1,16.05
6,Charsadda,1616117,1,25.1
7,Charsadda,1616117,1,36.575
8,Charsadda,1616117,1.475,53
9,Charsadda,1616117,2.425,78.825
10,Charsadda,1616117,5.9,118.25
11,Charsadda,1616117,10.95,180.15
12,Charsadda,1616117,17.475,259.25
13,Charsadda,1616117,29.9,366.825
14,Charsadda,1616117,48.475,543.45
1,Chiniot,1369738,0,0
2,Chiniot,1369738,0,0
3,Chiniot,1369738,0,1
4,Chiniot,1369738,0,1
5,Chiniot,1369738,0,1
6,Chiniot,1369738,0,1
7,Chiniot,1369738,0,2
8,Chiniot,1369738,0,3.525
9,Chiniot,1369738,0,5.525
10,Chiniot,1369738,0,7.525
11,Chiniot,1369738,0,9
12,Chiniot,1369738,0,12.525
13,Chiniot,1369738,0,19.1
14,Chiniot,1369738,0,30.525
1,Chitral,447352,0,0
2,Chitral,447352,0,0
3,Chitral,447352,0,0
4,Chitral,447352,0,0
5,Chitral,447352,0,0.525
6,Chitral,447352,0,1
7,Chitral,447352,0,2
8,Chitral,447352,0,4
9,Chitral,447352,0,5.525
10,Chitral,447352,0,7
11,Chitral,447352,0,11.575
12,Chitral,447352,0,15
13,Chitral,447352,0,20.625
14,Chitral,447352,1.475,30.725
1,Dadu,1550238,0.475,2
2,Dadu,1550238,0.475,3
3,Dadu,1550238,1,4.525
4,Dadu,1550238,1,6
5,Dadu,1550238,1,9
6,Dadu,1550238,1,12
7,Dadu,1550238,1,16.05
8,Dadu,1550238,2,24.525
9,Dadu,1550238,2.475,34.525
10,Dadu,1550238,5,55.1
11,Dadu,1550238,6.95,96.45
12,Dadu,1550238,16.95,159.2
13,Dadu,1550238,29.475,273.2
14,Dadu,1550238,51.425,449.15
1,Dera Bugti,312299,0,6
2,Dera Bugti,312299,0,10
3,Dera Bugti,312299,0.475,19
4,Dera Bugti,312299,2.475,31
5,Dera Bugti,312299,5.425,39.525
6,Dera Bugti,312299,11,60.15
7,Dera Bugti,312299,20.475,88.825
8,Dera Bugti,312299,35.475,121.525
9,Dera Bugti,312299,52.375,163.525
10,Dera Bugti,312299,81.475,224.625
11,Dera Bugti,312299,115.75,300.625
12,Dera Bugti,312299,162.8,411.675
13,Dera Bugti,312299,240.475,548.45
14,Dera Bugti,312299,335.375,793.05
1,Dera Ghazi Khan,2865543,235,266.525
2,Dera Ghazi Khan,2865543,288.425,355.1
3,Dera Ghazi Khan,2865543,359.85,462.725
4,Dera Ghazi Khan,2865543,459.375,588.675
5,Dera Ghazi Khan,2865543,557.85,744.05
6,Dera Ghazi Khan,2865543,722.275,945.1
7,Dera Ghazi Khan,2865543,905.425,1209.425
8,Dera Ghazi Khan,2865543,1149.025,1574.625
9,Dera Ghazi Khan,2865543,1460.95,1996.15
10,Dera Ghazi Khan,2865543,1835.325,2560.875
11,Dera Ghazi Khan,2865543,2331.725,3311.15
12,Dera Ghazi Khan,2865543,2964.975,4162.175
13,Dera Ghazi Khan,2865543,3767.125,5354.3
14,Dera Ghazi Khan,2865543,4745.225,6886.9
1,Dera Ismail Khan,1624915,61.475,77
2,Dera Ismail Khan,1624915,79,104
3,Dera Ismail Khan,1624915,99.375,138.525
4,Dera Ismail Khan,1624915,127.325,188.525
5,Dera Ismail Khan,1624915,171.475,241.525
6,Dera Ismail Khan,1624915,220.425,326.1
7,Dera Ismail Khan,1624915,288.425,425.525
8,Dera Ismail Khan,1624915,376.225,553
9,Dera Ismail Khan,1624915,499.375,723.2
10,Dera Ismail Khan,1624915,655.075,945.15
11,Dera Ismail Khan,1624915,841.875,1255.625
12,Dera Ismail Khan,1624915,1097.225,1649.025
13,Dera Ismail Khan,1624915,1438.7,2188.425
14,Dera Ismail Khan,1624915,1865.325,2822.825
1,Diamer,176940,0,1.525
2,Diamer,176940,0,3
3,Diamer,176940,0,5
4,Diamer,176940,0,7.525
5,Diamer,176940,0,11.525
6,Diamer,176940,0,15
7,Diamer,176940,0.475,21
8,Diamer,176940,1.95,29.05
9,Diamer,176940,3.475,43
10,Diamer,176940,10,55.525
11,Diamer,176940,14,74.525
12,Diamer,176940,26.475,104.1
13,Diamer,176940,37.325,150.875
14,Diamer,176940,56.375,205.5
1,Faisalabad,7873892,0,0
2,Faisalabad,7873892,0,0
3,Faisalabad,7873892,0,0
4,Faisalabad,7873892,0,1
5,Faisalabad,7873892,0,1
6,Faisalabad,7873892,0,2
7,Faisalabad,7873892,0,6
8,Faisalabad,7873892,0,9.1
9,Faisalabad,7873892,0,12.05
10,Faisalabad,7873892,0,20
11,Faisalabad,7873892,0,34
12,Faisalabad,7873892,3,76.525
13,Faisalabad,7873892,8,129.525
14,Faisalabad,7873892,15.325,301.625
1,FR Bannu,43106,0,0
2,FR Bannu,43106,0,0
3,FR Bannu,43106,0,0.525
4,FR Bannu,43106,0,1
5,FR Bannu,43106,0,3.05
6,FR Bannu,43106,0,3.525
7,FR Bannu,43106,0,5
8,FR Bannu,43106,0,8
9,FR Bannu,43106,0,10
10,FR Bannu,43106,0,13.05
11,FR Bannu,43106,0,16.525
12,FR Bannu,43106,0,22
13,FR Bannu,43106,0,27.625
14,FR Bannu,43106,0,34.1
1,FR Dera Ismail Khan,67868,4,14
2,FR Dera Ismail Khan,67868,5.475,20
3,FR Dera Ismail Khan,67868,9,30.525
4,FR Dera Ismail Khan,67868,13.475,42.525
5,FR Dera Ismail Khan,67868,22.475,65.525
6,FR Dera Ismail Khan,67868,34,88.525
7,FR Dera Ismail Khan,67868,49,128.525
8,FR Dera Ismail Khan,67868,67.9,184.575
9,FR Dera Ismail Khan,67868,95.375,250.625
10,FR Dera Ismail Khan,67868,132.175,337.2
11,FR Dera Ismail Khan,67868,197.375,435.525
12,FR Dera Ismail Khan,67868,278.475,606.175
13,FR Dera Ismail Khan,67868,391.95,797.7
14,FR Dera Ismail Khan,67868,514.95,1041.525
1,FR Kohat,118578,0,0
2,FR Kohat,118578,0,0
3,FR Kohat,118578,0,0.525
4,FR Kohat,118578,0,0.525
5,FR Kohat,118578,0,2
6,FR Kohat,118578,0,2
7,FR Kohat,118578,0,3
8,FR Kohat,118578,0,4
9,FR Kohat,118578,0,6
10,FR Kohat,118578,0,8
11,FR Kohat,118578,0,11
12,FR Kohat,118578,0,14.525
13,FR Kohat,118578,0,20.525
14,FR Kohat,118578,0,32.625
1,FR Lakki Marwat,26345,0,0
2,FR Lakki Marwat,26345,0,1
3,FR Lakki Marwat,26345,0,1
4,FR Lakki Marwat,26345,0,2.525
5,FR Lakki Marwat,26345,0,4.05
6,FR Lakki Marwat,26345,0,5
7,FR Lakki Marwat,26345,0,7
8,FR Lakki Marwat,26345,0,9
9,FR Lakki Marwat,26345,0,11.575
10,FR Lakki Marwat,26345,0,16.575
11,FR Lakki Marwat,26345,0,21.625
12,FR Lakki Marwat,26345,0,30.575
13,FR Lakki Marwat,26345,0,38.3
14,FR Lakki Marwat,26345,0.475,49.925
1,FR Peshawer,64610,1.475,4
2,FR Peshawer,64610,1,7
3,FR Peshawer,64610,2,10.05
4,FR Peshawer,64610,1.475,13.525
5,FR Peshawer,64610,1.475,20.525
6,FR Peshawer,64610,1.475,26.05
7,FR Peshawer,64610,2.475,35.525
8,FR Peshawer,64610,3.475,48
9,FR Peshawer,64610,6,58.525
10,FR Peshawer,64610,7.475,71
11,FR Peshawer,64610,11.475,99.05
12,FR Peshawer,64610,14.9,134.575
13,FR Peshawer,64610,24,168.725
14,FR Peshawer,64610,35.425,231.4
1,FR Tank,36362,0,0
2,FR Tank,36362,0,0
3,FR Tank,36362,0,1
4,FR Tank,36362,0,2
5,FR Tank,36362,0,3
6,FR Tank,36362,0,4
7,FR Tank,36362,0,6.525
8,FR Tank,36362,0,9
9,FR Tank,36362,0,12.05
10,FR Tank,36362,0,16.625
11,FR Tank,36362,0,24.1
12,FR Tank,36362,0.475,34.1
13,FR Tank,36362,2.475,47.1
14,FR Tank,36362,5,61.35
1,Ghanche,149935,0,2
2,Ghanche,149935,0,3
3,Ghanche,149935,0,4
4,Ghanche,149935,0,5.525
5,Ghanche,149935,0,8.525
6,Ghanche,149935,0,13
7,Ghanche,149935,0,19
8,Ghanche,149935,0,24.1
9,Ghanche,149935,0,29.525
10,Ghanche,149935,0.475,37.05
11,Ghanche,149935,0.475,51.1
12,Ghanche,149935,2,67.575
13,Ghanche,149935,4.95,95.45
14,Ghanche,149935,6.475,128.075
1,Ghizer,159780,0,3
2,Ghizer,159780,0,4.525
3,Ghizer,159780,0,6.525
4,Ghizer,159780,0,11.525
5,Ghizer,159780,0,16
6,Ghizer,159780,1,21
7,Ghizer,159780,1.475,29.575
8,Ghizer,159780,3,39
9,Ghizer,159780,5.95,52
10,Ghizer,159780,11.475,75.15
11,Ghizer,159780,18.475,101.575
12,Ghizer,159780,28.9,136.1
13,Ghizer,159780,46,199.35
14,Ghizer,159780,70.85,265.05
1,Ghotki,1646802,0,6
2,Ghotki,1646802,0,12
3,Ghotki,1646802,2,19
4,Ghotki,1646802,4,29.575
5,Ghotki,1646802,6.475,48.525
6,Ghotki,1646802,14.475,71.05
7,Ghotki,1646802,23.9,101.525
8,Ghotki,1646802,35.475,145.575
9,Ghotki,1646802,54.95,215
10,Ghotki,1646802,90.375,319.925
11,Ghotki,1646802,142.325,434.825
12,Ghotki,1646802,211.85,616.4
13,Ghotki,1646802,321.85,865.975
14,Ghotki,1646802,477.375,1189.875
1,Gilgit,228194,57.475,75
2,Gilgit,228194,70.95,97.525
3,Gilgit,228194,90.475,125.525
4,Gilgit,228194,112.475,168.675
5,Gilgit,228194,141.425,226.05
6,Gilgit,228194,176,288.05
7,Gilgit,228194,231,374.625
8,Gilgit,228194,291.425,497.05
9,Gilgit,228194,378.325,644
10,Gilgit,228194,499.275,841.4
11,Gilgit,228194,637.85,1127.6
12,Gilgit,228194,855.475,1461.325
13,Gilgit,228194,1091.95,1865.725
14,Gilgit,228194,1401.425,2375.925
1,Gujranwala,5013619,7,13
2,Gujranwala,5013619,8.475,22.525
3,Gujranwala,5013619,12,32.575
4,Gujranwala,5013619,15,48.05
5,Gujranwala,5013619,21.475,75.2
6,Gujranwala,5013619,28.475,105.15
7,Gujranwala,5013619,36.475,154.2
8,Gujranwala,5013619,54.325,237.525
9,Gujranwala,5013619,80.8,320.05
10,Gujranwala,5013619,113.875,454.15
11,Gujranwala,5013619,160.675,651.975
12,Gujranwala,5013619,215.575,929.3
13,Gujranwala,5013619,318.25,1432.5
14,Gujranwala,5013619,471.9,2035.25
1,Gujrat,2755677,13,22
2,Gujrat,2755677,13.95,31
3,Gujrat,2755677,17.475,46.625
4,Gujrat,2755677,21.475,63
5,Gujrat,2755677,28.9,82.575
6,Gujrat,2755677,33.9,112.525
7,Gujrat,2755677,46.8,157.15
8,Gujrat,2755677,62.95,211.575
9,Gujrat,2755677,88.85,294.05
10,Gujrat,2755677,118.275,404.775
11,Gujrat,2755677,151.425,542.5
12,Gujrat,2755677,210.475,763.2
13,Gujrat,2755677,290.9,1057.175
14,Gujrat,2755677,412.025,1501.9
1,Gwadar,263486,0,0
2,Gwadar,263486,0,0
3,Gwadar,263486,0,1
4,Gwadar,263486,0,1
5,Gwadar,263486,0,3
6,Gwadar,263486,0,4.05
7,Gwadar,263486,0,7.1
8,Gwadar,263486,0,10
9,Gwadar,263486,0,15.525
10,Gwadar,263486,0.475,26
11,Gwadar,263486,2,45.05
12,Gwadar,263486,5,88.625
13,Gwadar,263486,12.475,162.675
14,Gwadar,263486,25.475,279.2
1,Hafizabad,1156903,0,1
2,Hafizabad,1156903,0,1
3,Hafizabad,1156903,0,3
4,Hafizabad,1156903,0,4.525
5,Hafizabad,1156903,0,6
6,Hafizabad,1156903,0,8.575
7,Hafizabad,1156903,0,15.05
8,Hafizabad,1156903,1,19.525
9,Hafizabad,1156903,3,33.525
10,Hafizabad,1156903,4,53.05
11,Hafizabad,1156903,8,83.2
12,Hafizabad,1156903,17.475,146.575
13,Hafizabad,1156903,29.425,256.7
14,Hafizabad,1156903,53.375,499.55
1,Hangu,518612,1,2.525
2,Hangu,518612,0.475,4
3,Hangu,518612,0,5.525
4,Hangu,518612,0,8
5,Hangu,518612,0,11.525
6,Hangu,518612,0,15
7,Hangu,518612,0,22.575
8,Hangu,518612,0,31.575
9,Hangu,518612,0,44.625
10,Hangu,518612,1,57.575
11,Hangu,518612,1,75.525
12,Hangu,518612,2,100.525
13,Hangu,518612,3,122.525
14,Hangu,518612,6,160.675
1,Haripur,1002917,0,1
2,Haripur,1002917,0,2.525
3,Haripur,1002917,0,5
4,Haripur,1002917,0,6.525
5,Haripur,1002917,0,10.05
6,Haripur,1002917,0,14
7,Haripur,1002917,0.475,20
8,Haripur,1002917,1.475,33.575
9,Haripur,1002917,5,48.1
10,Haripur,1002917,8.475,69.1
11,Haripur,1002917,15,109.925
12,Haripur,1002917,27.425,176.15
13,Haripur,1002917,45.85,269.375
14,Haripur,1002917,79.375,397.45
1,Harnai,96756,0,3
2,Harnai,96756,0,6
3,Harnai,96756,0,9
4,Harnai,96756,1,13.525
5,Harnai,96756,3,23.625
6,Harnai,96756,5,33.575
7,Harnai,96756,10.475,46.525
8,Harnai,96756,15.425,70.05
9,Harnai,96756,24.475,103.575
10,Harnai,96756,42,150.15
11,Harnai,96756,66.85,200.725
12,Harnai,96756,96.85,270.25
13,Harnai,96756,145.325,356.825
14,Harnai,96756,221.95,555.85
1,Hunza-Nagar,179785,5,10
2,Hunza-Nagar,179785,5.475,14
3,Hunza-Nagar,179785,7,20
4,Hunza-Nagar,179785,9,29.525
5,Hunza-Nagar,179785,10,44.525
6,Hunza-Nagar,179785,15,53.575
7,Hunza-Nagar,179785,20.475,70.575
8,Hunza-Nagar,179785,28.95,95.725
9,Hunza-Nagar,179785,39.325,129.575
10,Hunza-Nagar,179785,54.75,173.1
11,Hunza-Nagar,179785,71.7,232.3
12,Hunza-Nagar,179785,95.225,294.65
13,Hunza-Nagar,179785,129.55,390.775
14,Hunza-Nagar,179785,175.725,508.725
1,Hyderabad,2200447,1.475,5
2,Hyderabad,2200447,2,8
3,Hyderabad,2200447,2,12
4,Hyderabad,2200447,2,20
5,Hyderabad,2200447,2,29
6,Hyderabad,2200447,3,45
7,Hyderabad,2200447,3.95,73.675
8,Hyderabad,2200447,7.375,115.525
9,Hyderabad,2200447,9.9,177.925
10,Hyderabad,2200447,18.425,284.375
11,Hyderabad,2200447,37.425,445.125
12,Hyderabad,2200447,71.275,624.875
13,Hyderabad,2200447,126.025,972.875
14,Hyderabad,2200447,201.6,1507.35
1,Islamabad,2003037,11,23.525
2,Islamabad,2003037,17,37
3,Islamabad,2003037,23.475,63.525
4,Islamabad,2003037,32.475,102
5,Islamabad,2003037,47,147.775
6,Islamabad,2003037,66.425,210.875
7,Islamabad,2003037,100.375,362.6
8,Islamabad,2003037,142.425,551.65
9,Islamabad,2003037,206.975,852.725
10,Islamabad,2003037,309.975,1284.9
11,Islamabad,2003037,425.725,1839.8
12,Islamabad,2003037,587.325,3368.15
13,Islamabad,2003037,931.55,4743.025
14,Islamabad,2003037,1464.75,6799.35
1,Jacobabad,1006249,0,0
2,Jacobabad,1006249,0,1
3,Jacobabad,1006249,0,1.525
4,Jacobabad,1006249,0,2
5,Jacobabad,1006249,0,4
6,Jacobabad,1006249,0,7
7,Jacobabad,1006249,0,10.525
8,Jacobabad,1006249,0,14
9,Jacobabad,1006249,0,21.525
10,Jacobabad,1006249,1,36.525
11,Jacobabad,1006249,3.475,52
12,Jacobabad,1006249,9.425,73.625
13,Jacobabad,1006249,18.95,107.525
14,Jacobabad,1006249,37.375,158.1
1,Jafarabad,513807,0,0
2,Jafarabad,513807,0,0
3,Jafarabad,513807,0,1
4,Jafarabad,513807,0,1.525
5,Jafarabad,513807,0,2
6,Jafarabad,513807,0,4
7,Jafarabad,513807,0,6
8,Jafarabad,513807,0,7.525
9,Jafarabad,513807,0,10
10,Jafarabad,513807,0,13.525
11,Jafarabad,513807,0,22.15
12,Jafarabad,513807,1,30.525
13,Jafarabad,513807,2,44
14,Jafarabad,513807,6,61.05
1,Jamshoro,991906,0,5.525
2,Jamshoro,991906,0,9.525
3,Jamshoro,991906,1,18
4,Jamshoro,991906,2.475,39
5,Jamshoro,991906,5.475,64.05
6,Jamshoro,991906,16.475,121.15
7,Jamshoro,991906,29.95,227.1
8,Jamshoro,991906,59.275,514.85
9,Jamshoro,991906,98.475,919.6
10,Jamshoro,991906,167.95,1576.625
11,Jamshoro,991906,273.45,2804.75
12,Jamshoro,991906,419.85,5103.025
13,Jamshoro,991906,976.65,9701.725
14,Jamshoro,991906,1435.075,19015.7
1,Jhal Magsi,149225,0,0
2,Jhal Magsi,149225,0,0
3,Jhal Magsi,149225,0,0
4,Jhal Magsi,149225,0,0
5,Jhal Magsi,149225,0,0
6,Jhal Magsi,149225,0,0
7,Jhal Magsi,149225,0,1.525
8,Jhal Magsi,149225,0,2.525
9,Jhal Magsi,149225,0,3
10,Jhal Magsi,149225,0,5
11,Jhal Magsi,149225,0,7
12,Jhal Magsi,149225,0,11.525
13,Jhal Magsi,149225,0,14.525
14,Jhal Magsi,149225,0,19
1,Jhang,2743385,0,0
2,Jhang,2743385,0,1
3,Jhang,2743385,0,1.525
4,Jhang,2743385,0,2.525
5,Jhang,2743385,0,4.525
6,Jhang,2743385,0,6.525
7,Jhang,2743385,0,8.525
8,Jhang,2743385,0,12.525
9,Jhang,2743385,0,18.05
10,Jhang,2743385,0,28.1
11,Jhang,2743385,1,39.525
12,Jhang,2743385,3.475,54.675
13,Jhang,2743385,6.425,75.625
14,Jhang,2743385,11.475,105.575
1,Jhelum,1222587,3,6
2,Jhelum,1222587,2,9
3,Jhelum,1222587,2,12.525
4,Jhelum,1222587,3.475,18
5,Jhelum,1222587,4,23.525
6,Jhelum,1222587,5,29.525
7,Jhelum,1222587,6,44.525
8,Jhelum,1222587,7.475,63.525
9,Jhelum,1222587,10.475,83.05
10,Jhelum,1222587,15.475,110.05
