Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
8,Tando Muhammad Khan,676901,7.0,75.67499999999994
8,Hyderabad,2195641,90.475,494.575
8,Tando Allahyar,835838,26.85,218.52499999999998
8,Mirpur Khas,1504862,5.0,71.44999999999985
8,Tharparker,1649506,0.0,18.52499999999999
8,Dadu,1549188,14.475000000000001,73.62499999999996
8,Qambar Shahdadkot,1338677,14.475000000000001,146.24999999999991
8,Larkana,1522467,55.475,200.34999999999988
8,Naushahro Firoz,1609155,151.95,404.04999999999995
8,Jamshoro,986871,207.39999999999998,533.1999999999999
8,Ghotki,1638241,356.20000000000005,775.4499999999998
8,Kashmore,1079057,451.95,849.8749999999999
8,Sukkur,1440979,3164.5,4322.825
8,Matiari,767251,28.0,155.2999999999999
8,Sanghar,2055016,93.94999999999999,226.62499999999994
8,Jacobabad,1003443,85.475,254.67499999999995
8,Shikarpur,1215502,501.925,1105.9249999999997
8,Nawabshah,2007281,190.8,428.19999999999993
8,Karachi,17034124,957.375,7454.499999999996
8,Khairpur,2393288,514.225,996.0249999999994
8,Umerkot,1072430,20.425,124.04999999999998
9,Badin,1804208,11.475,92.14999999999995
9,Thatta,1758688,96.9,627.0999999999999
9,Tando Muhammad Khan,676901,19.0,129.575
9,Hyderabad,2195641,150.0,915.1999999999999
9,Tando Allahyar,835838,53.175000000000004,361.15
9,Mirpur Khas,1504862,11.475,115.09999999999997
9,Tharparker,1649506,0.0,32.14999999999995
9,Dadu,1549188,29.0,123.62499999999996
9,Qambar Shahdadkot,1338677,25.950000000000003,226.64999999999978
9,Larkana,1522467,103.0,346.7249999999999
9,Naushahro Firoz,1609155,258.375,700.8749999999999
9,Jamshoro,986871,331.325,881.9999999999997
9,Ghotki,1638241,586.075,1241.725
9,Kashmore,1079057,721.95,1384.8249999999998
9,Sukkur,1440979,4645.15,6486.224999999999
9,Matiari,767251,57.95,257.2499999999999
9,Sanghar,2055016,159.85,352.04999999999995
9,Jacobabad,1003443,147.275,416.57499999999993
9,Shikarpur,1215502,790.175,1790.05
9,Nawabshah,2007281,305.225,679.0999999999999
9,Karachi,17034124,1735.875,14315.724999999997
9,Khairpur,2393288,845.025,1559.25
